"EP Code:n","LOP A/C No:n","A/C Name","Reported BI Name","Reported TO Name","BI/Omni Code","BI Name","Mother BI/Omni Code","BI TO Code","BI TO Name"
"CCI","10020027","XXX","XXX","XXX","INS_2479","XXX","","BIT_1871","XXX"
"CCS","1802828","XXX","XXX","XXX","IND_0049","XXX","","","XXX"
"CCS","3183231A","XXX","XXX","XXX","INS_1428","XXX","","","XXX"
"CCS","3183231B","XXX","XXX","XXX","INS_1503","XXX","","","XXX"
"CEA","161432","XXX","XXX","XXX","IND_0070","XXX","","","XXX"
"CEF","68801","XXX","XXX","XXX","INS_0045","XXX","","","XXX"
"CES","25001699","XXX","XXX","XXX","IND_0333","XXX","","","XXX"
"CEV","50627660","XXX","XXX","XXX","IND_0083","XXX","","","XXX"
"CEV","51661370","XXX","XXX","XXX","INS_0361","XXX","","","XXX"
"CEV","51880200","XXX","XXX","XXX","IND_0086","XXX","","","XXX"
"CEV","8836400800","XXX","XXX","XXX","INS_2023","XXX","","","XXX"
"CEV","8836401000","XXX","XXX","XXX","IND_0131","XXX","","","XXX"
"CEV","8888805300","XXX","XXX","XXX","IND_0220","XXX","","","XXX"
"CEV","8888812200","XXX","XXX","XXX","INS_2615","XXX","","BIT_1946","XXX"
"CEV","F0595PT","XXX","XXX","XXX","GPR_0044","XXX","","","XXX"
"CEV","F0626PT","XXX","XXX","XXX","GPR_0044","XXX","","","XXX"
"CFB","0251-1806206-25","XXX","XXX","XXX","INS_1874","XXX","","BIT_1366","XXX"
"CFB","0554-253772-75-2","XXX","XXX","XXX","INS_1873","XXX","","","XXX"
"CFB","0835-223824-45-2","XXX","XXX","XXX","IND_0185","XXX","","","XXX"
"CFB","0835-2818165-45","XXX","XXX","XXX","INS_1875","XXX","","BIT_1373","XXX"
"CFB","105758","XXX","XXX","XXX","INS_0835","XXX","","BIT_0056","XXX"
"CFB","201TP","XXX","XXX","XXX","HED_0995","XXX","","BIT_0856","XXX"
"CFB","20A0T","XXX","XXX","XXX","HED_1034","XXX","","BIT_0091","XXX"
"CFB","20D15","XXX","XXX","XXX","HED_1024","XXX","","BIT_0064","XXX"
"CFB","20D16","XXX","XXX","XXX","HED_1025","XXX","","BIT_0064","XXX"
"CFB","2FK98","XXX","XXX","XXX","INS_0222","XXX","","BIT_0147","XXX"
"CFB","2FTM0","XXX","XXX","XXX","HED_0061","XXX","","BIT_0147","XXX"
"CFB","2G51V","XXX","XXX","XXX","HED_0329","XXX","","BIT_0064","XXX"
"CFB","2GE2F","XXX","XXX","XXX","HED_0214","XXX","","BIT_0345","XXX"
"CFB","2H5X2","XXX","XXX","XXX","HED_0033","XXX","","BIT_0064","XXX"
"CFB","2MN4Y","XXX","XXX","XXX","HED_0152","XXX","OMN_0009","BIT_0263","XXX"
"CFB","2P2TV","XXX","XXX","XXX","HED_0140","XXX","","BIT_0033","XXX"
"CFB","2P4R4","XXX","XXX","XXX","INS_0455","XXX","OMN_0009","BIT_0447","XXX"
"CFB","2P4R5","XXX","XXX","XXX","INS_0457","XXX","OMN_0009","BIT_0447","XXX"
"CFB","2PAH7","XXX","XXX","XXX","INS_0450","XXX","OMN_0009","BIT_0447","XXX"
"CFB","2PAHT","XXX","XXX","XXX","INS_0457","XXX","OMN_0009","BIT_0447","XXX"
"CFB","2PNE3","XXX","XXX","XXX","HED_0543","XXX","","BIT_0856","XXX"
"CFB","2PXF7","XXX","XXX","XXX","HED_0665","XXX","","BIT_0856","XXX"
"CFB","2R8E7","XXX","XXX","XXX","HED_0600","XXX","","BIT_0263","XXX"
"CFB","2T9X6","XXX","XXX","XXX","HED_0140","XXX","","BIT_0033","XXX"
"CFB","2T9XP","XXX","XXX","XXX","HED_0228","XXX","OMN_0009","BIT_0360","XXX"
"CFB","2T9XT","XXX","XXX","XXX","HED_0227","XXX","OMN_0009","BIT_0360","XXX"
"CFB","2TA2F","XXX","XXX","XXX","HED_0573","XXX","","","XXX"
"CFB","2TA2K","XXX","XXX","XXX","HED_0591","XXX","","BIT_0856","XXX"
"CFB","2TA2N","XXX","XXX","XXX","HED_0661","XXX","","BIT_0856","XXX"
"CFB","2TADN","XXX","XXX","XXX","HED_0660","XXX","","BIT_0856","XXX"
"CFB","2TAT1","XXX","XXX","XXX","HED_0735","XXX","","","XXX"
"CFB","2TFHX","XXX","XXX","XXX","HED_0323","XXX","","","XXX"
"CFB","2TFK0","XXX","XXX","XXX","OMN_0157","XXX","","BIT_0096","XXX"
"CFB","2THT6","XXX","XXX","XXX","HED_0663","XXX","","BIT_0856","XXX"
"CFB","2TK4F","XXX","XXX","XXX","HED_0037","XXX","","BIT_0033","XXX"
"CFB","2TM5X","XXX","XXX","XXX","HED_0572","XXX","","BIT_0176","XXX"
"CFB","2TP4E","XXX","XXX","XXX","HED_0647","XXX","","BIT_0180","XXX"
"CFB","2TTVF","XXX","XXX","XXX","HED_0659","XXX","","BIT_0096","XXX"
"CFB","2V32E","XXX","XXX","XXX","INS_0656","XXX","","BIT_0447","XXX"
"CFB","2V4KD","XXX","XXX","XXX","INS_0636","XXX","","BIT_0360","XXX"
"CFB","2V5FY","XXX","XXX","XXX","HED_0745","XXX","","BIT_0360","XXX"
"CFB","2VDH3","XXX","XXX","XXX","INS_1102","XXX","","BIT_0929","XXX"
"CFB","2VFN9","XXX","XXX","XXX","HED_0889","XXX","","BIT_0929","XXX"
"CFB","2VM15","XXX","XXX","XXX","HED_0890","XXX","","BIT_0929","XXX"
"CFB","2VMER","XXX","XXX","XXX","HED_0646","XXX","","BIT_0180","XXX"
"CFB","2W307","XXX","XXX","XXX","HED_0689","XXX","","BIT_0926","XXX"
"CFB","2W3A3","XXX","XXX","XXX","HED_0901","XXX","","BIT_0929","XXX"
"CFB","2W8PR","XXX","XXX","XXX","INS_1103","XXX","","BIT_0929","XXX"
"CFB","2W9HD","XXX","XXX","XXX","INS_1104","XXX","","BIT_0929","XXX"
"CFB","2WFD3","XXX","XXX","XXX","INS_1105","XXX","","BIT_0929","XXX"
"CFB","2WK2F","XXX","XXX","XXX","HED_1000","XXX","","BIT_0091","XXX"
"CFB","2WRVE","XXX","XXX","XXX","HED_0889","XXX","","BIT_0929","XXX"
"CFB","2X8R6","XXX","XXX","XXX","HED_0690","XXX","","BIT_0926","XXX"
"CFB","2X95D","XXX","XXX","XXX","INS_1302","XXX","","BIT_0929","XXX"
"CFB","2X9AV","XXX","XXX","XXX","HED_0892","XXX","","BIT_0929","XXX"
"CFB","2XDR3","XXX","XXX","XXX","HED_0598","XXX","","","XXX"
"CFB","2XGWH","XXX","XXX","XXX","HED_0605","XXX","","BIT_0856","XXX"
"CFB","2XR6E","XXX","XXX","XXX","INS_1020","XXX","","BIT_0200","XXX"
"CFB","2XYRP","XXX","XXX","XXX","HED_0666","XXX","","BIT_0856","XXX"
"CFB","2Y0E2","XXX","XXX","XXX","HED_0672","XXX","","BIT_0180","XXX"
"CFB","2Y0K3","XXX","XXX","XXX","HED_0864","XXX","","BIT_0856","XXX"
"CFB","2Y1M9","XXX","XXX","XXX","HED_0865","XXX","","BIT_0856","XXX"
"CFB","2Y6Y5","XXX","XXX","XXX","INS_1154","XXX","","BIT_0180","XXX"
"CFB","2Y7N6","XXX","XXX","XXX","HED_0731","XXX","","BIT_0064","XXX"
"CFB","2YDG8","XXX","XXX","XXX","HED_0967","XXX","","BIT_0064","XXX"
"CFB","2YDGA","XXX","XXX","XXX","HED_0739","XXX","","BIT_0064","XXX"
"CFB","2YDGG","XXX","XXX","XXX","HED_0749","XXX","","BIT_0064","XXX"
"CFB","2YFHR","XXX","XXX","XXX","HED_0750","XXX","","BIT_0064","XXX"
"CFB","2YMK7","XXX","XXX","XXX","HED_0873","XXX","","BIT_0064","XXX"
"CFB","2YR4N","XXX","XXX","XXX","HED_0874","XXX","","BIT_0064","XXX"
"CFB","2YR4P","XXX","XXX","XXX","HED_0875","XXX","","BIT_0064","XXX"
"CFB","2YR82","XXX","XXX","XXX","HED_0872","XXX","","BIT_0180","XXX"
"CFB","2YW9D","XXX","XXX","XXX","HED_0900","XXX","","BIT_0200","XXX"
"CFB","302911","XXX","XXX","XXX","INS_0836","XXX","","BIT_0056","XXX"
"CFB","527637","XXX","XXX","XXX","HED_0428","XXX","","BIT_0056","XXX"
"CFB","527993","XXX","XXX","XXX","HED_0429","XXX","","BIT_0056","XXX"
"CFB","60621800","XXX","XXX","XXX","OMN_0372","XXX","","BIT_1073","XXX"
"CFB","703W1","XXX","XXX","XXX","HED_0957","XXX","","BIT_0997","XXX"
"CFB","70837","XXX","XXX","XXX","HED_0067","XXX","OMN_0009","BIT_0155","XXX"
"CFB","70841","XXX","XXX","XXX","HED_0067","XXX","OMN_0009","BIT_0155","XXX"
"CFB","70842","XXX","XXX","XXX","HED_0067","XXX","","BIT_0155","XXX"
